symbol,price,eps_latest,fair_value_pe,discount_vs_fair,sector_guess,source_url,eps_series,error
PPL,202.41,33.82,270.56,0.3366928511437182,OIL & GAS,https://dps.psx.com.pk/company/PPL,33.82|42.01|35.99|19.68|3.0|2025.0|2.0|2025.0,
SAZEW,1980.06,270.26,2162.08,0.09192650727755725,AUTOMOBILE ,https://dps.psx.com.pk/company/SAZEW,270.26|131.29|16.46|1.95|3.0|2025.0|2.0|2025.0,
SYS,153.83,20.94,167.52,0.08899434440616262,TECHNOLOGY & ,https://dps.psx.com.pk/company/SYS,20.94|29.41|22.44|12.06|2.0|2025.0|1.0|2025.0,
GHGL,44.58,5.9,47.2,0.058770749214894676,,https://dps.psx.com.pk/company/GHGL,5.9|6.75|8.1|6.05|3.0|2025.0|2.0|2025.0,
HBL,300.87,38.7,309.6,0.029015854023332396,BANKS,https://dps.psx.com.pk/company/HBL,38.7|38.76|21.04|23.36|2.0|2025.0|1.0|2025.0,
TGL,253.97,27.75,222.0,-0.12588100956805923,,https://dps.psx.com.pk/company/TGL,27.75|25.41|14.63|24.05|3.0|2025.0|2.0|2025.0,
PSO,486.58,44.54,356.32,-0.26770520777672735,OIL & GAS,https://dps.psx.com.pk/company/PSO,44.54|33.79|12.06|183.66|3.0|2025.0|2.0|2025.0,
NETSOL,149.49,11.89,95.12,-0.36370325774299284,TECHNOLOGY & ,https://dps.psx.com.pk/company/NETSOL,11.89|15.76|14.63|10.19|3.0|2025.0|2.0|2025.0,
DGKC,256.15,19.8,158.4,-0.38161233652156934,CEMENT,https://dps.psx.com.pk/company/DGKC,19.8|1.24|-8.3|6.78|3.0|2025.0|2.0|2025.0,
IMAGE,28.42,1.99,15.92,-0.43983110485573546,,https://dps.psx.com.pk/company/IMAGE,1.99|1.91|2.06|2.02|3.0|2025.0|2.0|2025.0,
ENGRO,485.38,32.26,258.08,-0.46829288392599616,FERTILIZER,https://dps.psx.com.pk/company/ENGRO,32.26|36.79|32.14|28.29|3.0|2024.0|2.0|2024.0,
LOTCHEM,27.9,1.75,14.0,-0.4982078853046595,,https://dps.psx.com.pk/company/LOTCHEM,1.75|3.35|6.68|3.07|2.0|2025.0|1.0|2025.0,
HUBC,236.85,14.71,117.68,-0.5031454507071986,,https://dps.psx.com.pk/company/HUBC,14.71|26.12|23.85|16.29|3.0|2025.0|2.0|2025.0,
BWCL,655.4,40.02,320.16,-0.511504424778761,CEMENT,https://dps.psx.com.pk/company/BWCL,40.02|23.09|19.94|17.17|3.0|2025.0|2.0|2025.0,
ILP,73.42,3.84,30.72,-0.5815853990738219,TEXTILE,https://dps.psx.com.pk/company/ILP,3.84|11.25|14.39|8.82|3.0|2025.0|2.0|2025.0,
LUCK,474.12,22.59,180.72,-0.6188306757782839,CEMENT,https://dps.psx.com.pk/company/LUCK,22.59|18.91|43.06|47.31|3.0|2025.0|2.0|2025.0,
PAEL,59.3,2.72,21.76,-0.633052276559865,,https://dps.psx.com.pk/company/PAEL,2.72|1.5|1.33|2.89|2.0|2025.0|1.0|2025.0,
PAEL,59.3,2.72,21.76,-0.633052276559865,,https://dps.psx.com.pk/company/PAEL,2.72|1.5|1.33|2.89|2.0|2025.0|1.0|2025.0,
INIL,226.99,8.37,66.96,-0.7050090312348563,ENGINEERING,https://dps.psx.com.pk/company/INIL,8.37|11.17|17.23|16.35|3.0|2025.0|2.0|2025.0,
MUGHAL,88.34,2.83,22.64,-0.7437174552863934,ENGINEERING,https://dps.psx.com.pk/company/MUGHAL,2.83|5.96|10.37|16.12|3.0|2025.0|2.0|2025.0,
EPCL,30.87,0.45,3.6,-0.8833819241982507,,https://dps.psx.com.pk/company/EPCL,0.45|9.45|12.39|16.32|2.0|2025.0|1.0|2025.0,
EPCL,30.87,0.45,3.6,-0.8833819241982507,,https://dps.psx.com.pk/company/EPCL,0.45|9.45|12.39|16.32|2.0|2025.0|1.0|2025.0,
TRG,74.77,-56.56,,,TECHNOLOGY & ,https://dps.psx.com.pk/company/TRG,-56.56|-2.45|-9.13|47.4|3.0|2025.0|2.0|2025.0,
